"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","associate's degree","standard","none","66","76","65"
"male","group C","some high school","standard","none","75","54","60"
"male","group B","some college","standard","none","72","66","63"
"male","group D","some high school","standard","none","61","44","43"
"female","group B","some college","standard","none","55","66","62"
"male","group A","some high school","standard","completed","62","47","51"
"female","group E","some high school","standard","none","52","63","54"
"male","group D","high school","standard","completed","46","43","49"
"female","group D","some high school","standard","none","36","53","49"
"male","group E","associate's degree","standard","none","68","52","49"
"female","group D","high school","standard","completed","79","83","93"
"female","group D","some high school","standard","none","71","73","74"
"male","group D","associate's degree","standard","completed","100","100","100"
"female","group D","some college","standard","completed","69","85","93"
"male","group B","some college","standard","completed","73","65","67"
"female","group C","high school","standard","none","57","70","71"
"male","group D","some college","standard","completed","87","73","78"
"female","group D","master's degree","standard","completed","69","89","92"
"female","group D","some college","free/reduced","none","39","52","55"
"female","group D","high school","free/reduced","none","39","59","49"
"female","group B","associate's degree","free/reduced","completed","64","73","77"
"female","group D","associate's degree","standard","none","79","84","86"
"female","group B","some college","free/reduced","completed","85","98","96"
"female","group C","high school","standard","none","58","75","71"
"female","group E","some college","standard","none","98","98","96"
"male","group D","associate's degree","free/reduced","none","73","73","74"
"female","group C","some college","standard","none","85","86","79"
"female","group B","high school","free/reduced","none","49","75","67"
"male","group B","high school","standard","none","78","73","79"
"male","group D","high school","standard","none","83","81","77"
"female","group C","associate's degree","standard","completed","65","71","74"
"male","group E","master's degree","standard","none","72","65","58"
"male","group C","associate's degree","standard","completed","99","92","90"
"female","group D","some college","standard","none","66","62","62"
"male","group D","some high school","free/reduced","none","64","57","55"
"male","group C","some high school","standard","completed","80","86","79"
"male","group D","bachelor's degree","free/reduced","none","70","67","69"
"male","group A","bachelor's degree","free/reduced","none","75","80","68"
"male","group D","high school","standard","none","95","91","86"
"male","group D","associate's degree","standard","completed","79","75","76"
"male","group B","associate's degree","free/reduced","none","79","69","65"
"male","group C","some high school","standard","none","62","43","41"
"female","group A","master's degree","standard","none","63","73","76"
"male","group B","high school","standard","none","80","68","67"
"female","group D","bachelor's degree","standard","none","63","75","74"
"male","group B","some high school","standard","none","82","78","77"
"female","group B","some high school","free/reduced","completed","67","83","83"
"female","group C","some college","free/reduced","none","46","67","68"
"female","group D","some college","free/reduced","completed","70","82","78"
"male","group B","associate's degree","standard","completed","49","55","51"
"female","group C","some high school","standard","none","60","67","61"
"male","group C","master's degree","standard","completed","68","69","69"
"male","group B","bachelor's degree","standard","completed","62","58","59"
"female","group B","some high school","standard","none","66","83","79"
"male","group C","associate's degree","standard","completed","75","63","62"
"female","group B","some high school","free/reduced","none","46","53","56"
"female","group B","some high school","standard","none","58","66","65"
"female","group B","some college","free/reduced","none","66","75","73"
"male","group D","master's degree","standard","none","82","70","69"
"male","group C","high school","free/reduced","none","61","58","56"
"male","group D","some high school","standard","none","77","66","64"
"male","group E","master's degree","standard","none","89","74","73"
"male","group E","associate's degree","free/reduced","none","79","68","66"
"female","group B","associate's degree","standard","none","59","56","60"
"female","group D","some college","standard","none","84","89","86"
"female","group B","high school","standard","none","36","46","46"
"male","group C","master's degree","standard","none","63","52","55"
"female","group C","associate's degree","standard","completed","77","85","90"
"male","group B","master's degree","standard","none","90","86","83"
"male","group B","some college","standard","none","95","85","79"
"female","group E","high school","standard","none","70","60","64"
"male","group C","master's degree","standard","none","98","91","89"
"female","group B","high school","free/reduced","completed","60","72","68"
"male","group D","high school","standard","none","85","88","80"
"female","group D","some college","standard","none","78","90","88"
"female","group A","high school","standard","completed","70","82","81"
"female","group E","bachelor's degree","standard","completed","69","69","69"
"female","group C","some college","standard","none","52","57","57"
"male","group C","bachelor's degree","standard","none","65","54","51"
"male","group B","associate's degree","standard","none","61","51","49"
"male","group B","some high school","free/reduced","none","58","69","65"
"female","group E","some college","standard","none","83","91","85"
"male","group D","bachelor's degree","standard","none","92","83","82"
"female","group D","associate's degree","standard","completed","67","79","81"
"male","group D","some high school","standard","completed","82","78","77"
"female","group D","associate's degree","free/reduced","none","27","44","39"
"male","group B","associate's degree","free/reduced","none","63","70","61"
"female","group D","high school","standard","completed","72","86","90"
"male","group C","bachelor's degree","free/reduced","none","59","53","43"
"male","group D","some college","standard","none","68","74","74"
"male","group C","associate's degree","standard","completed","82","81","77"
"female","group D","some high school","standard","completed","53","57","65"
"male","group C","some college","free/reduced","none","59","53","57"
"male","group C","some high school","standard","completed","53","51","52"
"male","group D","some high school","standard","none","61","50","45"
"female","group C","high school","standard","none","68","72","74"
"female","group C","some college","free/reduced","completed","36","65","56"
"male","group D","some college","free/reduced","none","60","48","53"
"female","group B","some college","free/reduced","completed","67","85","85"
"female","group C","some high school","standard","completed","64","75","71"
